genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [1], [1, 0], [0, 3, 2], [0, 0, 1, 1], [0, 0]]",16.543685220638004,6,(((x[0]+x[0])/Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+x[0])/0.49205143325806766*0.3544989408948883)**0.08054636927325665) * (x[1]**0.5135999667923177) * (x[2]),16.13356478499053,{'errortest': 16.83980174610821},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [1], [2, 2], [1, 1], [3, 0, 3], [0, 0, 0, 0], [0, 0, 0, 0]]",18.61574477557181,6,(((x[0]/x[0])**Constant)+((x[0]/x[0])**Constant)) * (x[1]**Constant) * (x[2]),(((x[0]/x[0])**0.7649218734790599)+((x[0]/x[0])**0.36826791507205603)) * (x[1]**0.42829664914217513) * (x[2]),17.82888586218435,{'errortest': 18.778701779097055},"[1, 1, 2, 2, 3, 4, 4]"
"[[0], [2], [0, 1], [2, 0, 0, 1], [0, 3, 2, 2, 0, 0], [0, 1, 1], [0]]",18.77170256823478,6,(x[0]+Constant/Constant**Constant) * (x[1]**Constant) * (x[2]),(x[0]+0.353164823519022/0.8224077008781272**0.6155407380753521) * (x[1]**0.5179486592670202) * (x[2]),17.84979272631882,{'errortest': 18.919403846215054},"[1, 1, 1, 2, 2, 3, 1]"
"[[0], [2], [1], [1, 0], [0, 3, 2, 2, 0, 0], [0, 0, 1, 1], [0, 0]]",21.43626579121122,6,(((x[0]+x[0])/Constant*Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+x[0])/0.26144560145846396*0.9120535022279417)**0.6330844842893308) * (x[1]**0.42006833493162965) * (x[2]),20.475808606673667,{'errortest': 21.46222697952009},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [3], [], [], [], [0], [0]]",21.471118152702907,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5419286348778652) * (x[2]),20.24596737452101,{'errortest': 21.731928657630384},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [3, 0], [1, 1], [2, 2, 0, 1], [0, 1, 0, 1, 0], [0, 0, 0]]",21.58472724100909,6,(x[0]*(Constant*x[0])+(Constant-x[0])) * (x[1]**Constant) * (x[2]),(x[0]*(0.6789545283865842*x[0])+(0.5035315507332674-x[0])) * (x[1]**0.6959885717275184) * (x[2]),21.260904883176437,{'errortest': 22.235913651291884},"[1, 1, 2, 2, 4, 5, 3]"
"[[0], [1], [2, 2], [0, 0], [3, 2, 3], [0, 1, 1, 1], [0]]",22.65854988599691,6,((x[0]/Constant**Constant)*(Constant/Constant**Constant)) * (x[1]**Constant) * (x[2]),((x[0]/0.6184714351165015**0.25769937335842474)*(0.9618370601788034/0.2681527527437424**0.9370260048927951)) * (x[1]**0.38768070727480075) * (x[2]),21.232909176220428,{'errortest': 22.867202783395904},"[1, 1, 2, 2, 3, 4, 1]"
"[[0], [2], [1], [1, 0], [0, 2, 1, 2], [0, 0, 1, 1], [0, 0]]",23.373340101367912,6,(((x[0]+x[0])*Constant-Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+x[0])*0.2776494481807673-0.07298332934686913)**0.6220993064915347) * (x[1]**0.6239207675102967) * (x[2]),22.135635861508884,{'errortest': 23.34732200057383},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [1], [3, 0], [2, 1], [0, 2, 1], [0, 1, 1, 0], [0, 0]]",24.69641268082388,6,(x[0]+Constant*(Constant-x[0])) * (x[1]**Constant) * (x[2]),(x[0]+0.4252775207094601*(0.7979548141552361-x[0])) * (x[1]**0.5099395713379833) * (x[2]),23.495861990632218,{'errortest': 24.935605344663756},"[1, 1, 2, 2, 3, 4, 2]"
"[[0], [2], [1], [1, 0], [0, 0, 2], [0, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",25.989833863423943,6,(((x[0]+Constant)+Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),(((x[0]+0.13046661379754343)+0.19618510827691804*x[0])**0.6298650988341721) * (x[1]**0.5599650192158884) * (x[2]),24.6624085623605,{'errortest': 25.76915932524717},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [0], [0, 3], [1, 0], [3, 3, 0, 0], [0, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",27.76298596918115,6,(x[0]/Constant)/Constant+x[0]+Constant * (x[1]**Constant) * (x[2]),(x[0]/0.4252704538260128)/0.48896987483132215+x[0]+0.07935479895932951 * (x[1]**0.7652843866475393) * (x[2]),27.201038196496317,{'errortest': 28.022196305175456},"[1, 1, 2, 2, 4, 5, 2]"
"[[0], [1], [2, 0], [2, 0, 1], [0, 2, 2, 1], [0, 0, 1, 0, 1], [0, 0, 0, 0]]",28.312310190474133,6,((x[0]**Constant)+x[0]*Constant*(x[0]-Constant)) * (x[1]**Constant) * (x[2]),((x[0]**0.17691224460292154)+x[0]*0.807098726655191*(x[0]-0.3984550606572631)) * (x[1]**0.5239123975190947) * (x[2]),27.13380279186241,{'errortest': 28.22720538480745},"[1, 1, 2, 3, 4, 5, 3]"
"[[0], [3], [], [], [], [0], [0]]",30.77331571455754,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.4824696826142112) * (x[2]),29.027635964907347,{'errortest': 30.93023676492051},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [1, 3], [1, 2], [3, 3, 0, 0], [0, 1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",36.044246845704876,6,((x[0]/Constant)/Constant)+x[0] * (x[1]**Constant) * (x[2]),((x[0]/0.052256904857202024)/0.5995380702459993)+x[0] * (x[1]**0.11091504724567247) * (x[2]),33.27432936093072,{'errortest': 35.97690773468608},"[1, 1, 2, 2, 3, 4, 2]"
