genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [1], [3, 0], [3, 2], [2], [3, 0], [1, 0, 0], [0, 0]]",0.2293010930784948,7,(Constant/x[0]+(x[0]**Constant)),(0.5671740700866214/x[0]+(x[0]**0.01002287766065757)),0.22908380741351686,{'errortest': 0.25073421866501583},"[1, 1, 2, 2, 1, 2, 3, 2]"
"[[0], [0], [3, 0], [3, 2], [2], [3, 0], [1, 1, 1], [0, 0, 1]]",0.29399280422212665,6,Constant/Constant+(Constant**Constant),0.5516039477092869/0.6967186337532706+(0.6239802269590294**0.2821557399983855),0.2729805992310288,{'errortest': 0.3388895310392933},"[1, 1, 2, 2, 1, 2, 3, 0]"
"[[0], [2], [1], [2, 1], [2, 1, 2], [2, 3, 0], [0, 0, 1, 0], [0, 0, 1]]",0.30755474892174034,7,(((x[0]**Constant)*((x[0]/Constant)+x[1]))**Constant),(((x[0]**0.727183330011827)*((x[0]/0.081038977187184)+x[1]))**0.07329275870735208),0.2981524673989315,{'errortest': 0.3487191991272288},"[1, 1, 1, 2, 3, 3, 4, 3]"
"[[0], [2], [1], [2, 1], [2, 1, 0], [1, 1, 1, 1], [1, 1, 1, 1, 0], [0]]",0.4021781798696307,7,(((Constant**Constant)-((Constant-Constant)-Constant-x[0]))**Constant),(((0.9483053264906725**0.810577088784638)-((0.25505381625131773-0.23375244993720767)-0.3085325904455677-x[0]))**0.6777232962402303),0.37912302164277806,{'errortest': 0.4480659381812352},"[1, 1, 1, 2, 3, 4, 5, 1]"
"[[0], [2], [0], [3, 2], [2], [3, 0], [1, 1], [0, 0]]",0.445374210008556,6,(Constant/(Constant**Constant)**Constant),(0.8708245726286196/(0.14107400127414849**0.8598512256793407)**0.5483305522869151),0.4653358485420527,{'errortest': 0.45662768472275506},"[1, 1, 1, 2, 1, 1, 2, 0]"
"[[0], [1], [3, 0], [0, 1], [2, 2, 2, 1], [0, 0, 1, 3, 3, 2], [1, 1, 1, 0, 0, 1, 1], [0, 0, 1]]",0.447973152900273,7,(Constant+Constant+Constant-(x[0]/(x[0]/Constant))),(0.5946541971899828+0.9686919885684757+0.24945505955484293-(x[0]/(x[0]/0.3618283800219586))),0.4199855664553143,{'errortest': 0.48642278363461283},"[1, 1, 2, 2, 4, 5, 6, 2]"
"[[0], [2], [1], [0, 2], [2, 1, 2], [1, 1, 0], [1, 1, 0, 1], [0]]",0.4551448561992289,7,((Constant-(Constant-x[0])+(Constant**Constant))**Constant),((0.8054510010277778-(0.7711675465315926-x[0])+(0.24412066538363475**0.061500790697894825))**0.7571743697893846),0.4231468509187903,{'errortest': 0.5018420053806615},"[1, 1, 1, 2, 3, 3, 4, 1]"
"[[0], [2], [2], [1], [2, 2], [3, 3, 3], [0, 1], [0, 0, 0]]",0.4800941760317031,7,(((x[0]/Constant)**Constant)**Constant),(((x[0]/0.15856017833000458)**0.47298881483175936)**0.4688787345456301),0.44275352469995555,{'errortest': 0.5242434990217015},"[1, 1, 1, 1, 2, 1, 2, 1]"
"[[0], [2], [1], [0, 1], [2, 2, 1, 2], [0, 3, 0, 1], [0, 0, 1, 0, 1], [0, 0, 0]]",0.5350242948944295,7,((x[0]+x[0]/((Constant+x[0])-Constant))**Constant),((x[0]+x[0]/((0.3181115538489696+x[0])-0.1047443729212546))**0.7267365075102925),0.4921038360550292,{'errortest': 0.5819877414173099},"[1, 1, 1, 2, 4, 4, 5, 3]"
"[[0], [2], [0], [2, 3], [2], [0], [1, 1], []]",0.539875175322709,6,((Constant**Constant)+Constant**Constant),((0.2643980220872141**0.5075412067211009)+0.6774809530880366**0.46227247885163225),0.5109461799901401,{'errortest': 0.5754119403485309},"[1, 1, 1, 2, 1, 1, 2, 0]"
"[[0], [2], [1], [2, 1], [2, 0, 2], [2, 3, 0, 0], [0, 1, 1, 0, 1], [0, 0, 1]]",0.5703866056096938,7,(((x[0]**Constant)*(Constant/Constant+x[0]))**Constant),(((x[0]**0.3446181714920026)*(0.8460598851630108/0.5911564605759341+x[0]))**0.7465059717393867),0.5671840219624177,{'errortest': 0.6086690915050882},"[1, 1, 1, 2, 3, 3, 4, 2]"
"[[0], [1], [3, 0], [0, 0], [2, 2, 1, 1], [3, 0, 1, 3, 3, 2], [1, 1, 0, 0, 0, 1, 1], [0, 0, 1]]",0.5981861981944305,7,(Constant/Constant+x[0]-(x[0]/x[1])/(Constant*Constant)),(0.19752472657992792/0.17871804495723043+x[0]-(x[0]/x[1])/(0.3160522142991673*0.6317637865265426)),0.6144400246348646,{'errortest': 0.6269071544448869},"[1, 1, 2, 2, 4, 6, 7, 3]"
