genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,fitness_validation,other_info
"[[0], [2], [2], [0], [0], [1, 1, 0, 1], [0]]",6.421168104782901,"[1, 1, 1, 1, 1, 2, 0]",5,((Constant+Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.8209154132668994+0.8605301996753455**0.06704852579962606)**0.5318323774765287) * (x[1]**0.5111381588605701) * (x[2]),7.381650733450127,{'errortest': 7.040453709463289}
"[[0], [2], [3], [], [], [0], [0]]",9.646771025013617,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.194221589939354) * (x[1]**0.5431292316906507) * (x[2]),10.831688252711391,{'errortest': 10.534238233548756}
"[[0], [2], [3], [2], [], [1], [0]]",10.790796929898965,"[1, 1, 1, 0, 0, 1, 0]",4,(Constant**Constant) * (x[1]**Constant) * (x[2]),(0.03791883454495237**0.8262144351459534) * (x[1]**0.8558669257160665) * (x[2]),11.369554187440524,{'errortest': 11.207771888289612}
"[[0], [2], [2], [2], [], [1], []]",17.9752973031763,"[1, 1, 1, 1, 0, 1, 0]",5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),((0.6139505955511037**0.5762655769882378)**0.1538177753627914) * (x[1]**0.5197398444859748) * (x[2]),19.80106336400996,{'errortest': 18.677895901053923}
"[[0], [2], [3], [], [], [0], [0]]",21.47076162456114,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.9715625693243429) * (x[1]**0.5348216369359667) * (x[2]),21.989365073503826,{'errortest': 22.567442543046873}
"[[0], [0], [2, 0], [1, 2, 2, 1], [3, 0, 0, 0, 0, 2], [1, 0, 1, 0, 0, 0], [0, 0, 0, 0]]",21.62802433693819,"[1, 1, 2, 3, 3, 4, 2]",6,((Constant/x[0])**Constant)+Constant+x[0] * (x[1]**Constant) * (x[2]),((0.17695152669891767/x[0])**0.3073415769082558)+0.8362214603878173+x[0] * (x[1]**0.528287004321537) * (x[2]),22.1588736671472,{'errortest': 22.78680041262929}
"[[0], [3], [0], [], [], [0], [0]]",22.066940423931303,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5298487623662207) * (x[2]),22.553764019165545,{'errortest': 23.228390232253737}
"[[0], [1], [0, 2], [0, 1, 1], [2, 3, 0, 3, 2], [0, 1, 1, 0, 0, 0], [0, 0, 0, 0]]",22.168034099884512,"[1, 1, 2, 3, 5, 6, 4]",6,(x[0]*Constant/(Constant+x[0])/((x[0]*x[0])**Constant)) * (x[1]**Constant) * (x[2]),(x[0]*0.2757859812062714/(0.30205144502525116+x[0])/((x[0]*x[0])**0.6633332915531012)) * (x[1]**0.703880572380258) * (x[2]),23.454341279251345,{'errortest': 21.655965806115766}
"[[0], [3], [], [], [], [0], [0]]",25.060765617397344,"[1, 1, 0, 0, 0, 1, 1]",4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5106000336901942) * (x[2]),25.677154087239842,{'errortest': 26.289954931285692}
"[[0], [0], [1, 1], [0, 2, 0, 0], [2, 3, 3, 0, 2, 3], [1, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0]]",28.514754650201066,"[1, 1, 2, 4, 6, 7, 4]",6,(Constant*x[0]/x[0])/(Constant+Constant*x[0]/x[0]) * (x[1]**Constant) * (x[2]),(0.7417251796945914*x[0]/x[0])/(0.5056615638038299+0.5078366809098309*x[0]/x[0]) * (x[1]**0.628571866467327) * (x[2]),28.31263566269699,{'errortest': 28.03456501415567}
