,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [2, 1], [1, 0, 2], [3, 3, 2, 1], [1, 1, 1, 1, 1], []]",0.2551562445185869,6,(((Constant/Constant)**Constant)/(Constant*Constant-Constant)**Constant),"[1, 1, 1, 2, 3, 4, 5, 0]",(((0.20342658566689253/0.3704739484551739)**0.24021762708022487)/(0.6753242925187875*0.7670988195928925-0.20129401684606374)**0.6615531744089902),"[0.20342659 0.37047395 0.24021763 0.67532429 0.76709882 0.20129402
 0.66155317]",0.3242254512425524,"{'fitness 25': 0.2551562445185869, 'fitness 53': 0.33156265289760334, 'fitness 74': 0.32166016740265696, 'fitness 102': 0.3194535334273969}",False
1,"[[0], [2], [1], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 0], [0, 0]]",0.31573310282950495,7,((Constant+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.9525621774464381+(x[0]+0.38861356535694247/x[0]))**0.7065959252427021),[0.95256218 0.38861357 0.70659593],0.384742428134121,"{'fitness 25': 0.31573310282950495, 'fitness 53': 0.3926557732953781, 'fitness 74': 0.38263222756025195, 'fitness 102': 0.3789392835467331}",False
2,"[[0], [0], [2, 3], [2], [2], [0], [0, 1], [0]]",0.4750616509714681,7,((x[0]**Constant)**Constant)+Constant,"[1, 1, 2, 1, 1, 1, 2, 1]",((x[0]**0.3839004711301167)**0.48792127368618354)+0.49355807411549324,[0.38390047 0.48792127 0.49355807],0.5784545234950854,"{'fitness 25': 0.4750616509714681, 'fitness 53': 0.5783739330533786, 'fitness 74': 0.5783161514527544, 'fitness 102': 0.5786734859791233}",False
3,"[[0], [1], [3, 0], [1, 2], [0, 2, 0], [0, 3, 1, 2, 1], [1, 1, 0, 1, 1, 0], [1, 0]]",0.49164094904938743,7,(Constant+(Constant/x[1]-Constant)*(Constant-x[0]**Constant)),"[1, 1, 2, 2, 3, 5, 6, 2]",(0.9796210120895493+(0.2928498003585813/x[1]-0.836814530758742)*(0.4095761004040174-x[0]**0.23410291332363975)),[0.97962101 0.2928498  0.83681453 0.4095761  0.23410291],0.59513466361837,"{'fitness 25': 0.49164094904938743, 'fitness 53': 0.5948072334176763, 'fitness 74': 0.5950685032240198, 'fitness 102': 0.595528254213414}",False
4,"[[0], [1], [1, 3], [0, 2], [1, 2, 0], [3, 0, 3, 2, 0], [1, 1, 1, 1, 1, 1], []]",0.5215372021439031,6,(((Constant/Constant)+Constant/(Constant*Constant**Constant))+Constant),"[1, 1, 2, 2, 3, 5, 6, 0]",(((0.1850735155309402/0.2739128914768906)+0.12058071326954645/(0.8067863255211348*0.9128354886859091**0.6308017516994702))+0.544871111292887),"[0.18507352 0.27391289 0.12058071 0.80678633 0.91283549 0.63080175
 0.54487111]",0.624548427640342,"{'fitness 25': 0.5215372021439031, 'fitness 53': 0.6210473291271917, 'fitness 74': 0.6279050282456027, 'fitness 102': 0.6246929255482313}",False
5,"[[0], [2], [1], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 0], [0, 0]]",0.6868794031926766,7,((Constant+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.7990268042058495+(x[0]+0.7616919450699539/x[0]))**0.181484881761253),[0.7990268  0.76169195 0.18148488],0.7870955363512856,"{'fitness 25': 0.6868794031926766, 'fitness 53': 0.7817673540089821, 'fitness 74': 0.7917552875895213, 'fitness 102': 0.7877639674553536}",False
6,"[[0], [1], [1, 0], [2, 2, 0, 0], [2, 2, 0, 2, 0, 0], [2, 1, 2, 2, 2, 0, 3, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0]]",0.7301772755379706,7,(((Constant**Constant)*(Constant**Constant))-Constant*Constant*x[0]*Constant+x[0]/Constant+Constant),"[1, 1, 2, 4, 6, 8, 9, 2]",(((0.5898463090678809**0.6052141226457782)*(0.19815825771363493**0.46217688585857997))-0.88726901528077*0.44038750091157564*x[0]*0.8110394652149556+x[0]/0.628459520064227+0.636845591906611),"[0.58984631 0.60521412 0.19815826 0.46217689 0.88726902 0.4403875
 0.81103947 0.62845952 0.63684559]",0.7478176133315432,"{'fitness 25': 0.7301772755379706, 'fitness 53': 0.7625004091575895, 'fitness 74': 0.7410456644381284, 'fitness 102': 0.7399067663989115}",False
7,"[[0], [0], [1, 3], [3, 1], [2, 0], [0, 0, 3, 3], [1, 1, 1, 0, 0], [0, 0]]",0.7919346397590936,7,(Constant+(Constant+Constant/x[0]))/x[0],"[1, 1, 2, 2, 2, 4, 5, 2]",(0.9654825193951042+(0.4687171421957623+0.20094674219541508/x[0]))/x[0],[0.96548252 0.46871714 0.20094674],0.7395047636485153,"{'fitness 25': 0.7919346397590936, 'fitness 53': 0.7791387805212343, 'fitness 74': 0.6747007420404597, 'fitness 102': 0.7646747683838517}",False
8,"[[0], [2], [0], [2, 1], [2, 2, 2], [2, 0], [0, 1, 1], [0]]",0.7987568961227915,7,((x[0]**Constant)*(Constant+Constant)**Constant),"[1, 1, 1, 2, 3, 2, 3, 1]",((x[0]**0.1655082418227175)*(0.7936082852968849+0.6280642031636104)**0.30948685612016946),[0.16550824 0.79360829 0.6280642  0.30948686],0.8994295762140311,"{'fitness 25': 0.7987568961227915, 'fitness 53': 0.8955358150401956, 'fitness 74': 0.9011371645572531, 'fitness 102': 0.9016157490446445}",False
9,"[[0], [2], [1], [2, 3], [2], [1], [0, 1], [1]]",0.8204016063973628,7,(((x[1]**Constant)-Constant)**Constant),"[1, 1, 1, 2, 1, 1, 2, 1]",(((x[1]**0.07919795906442584)-0.11493403585248751)**0.09221582888939595),[0.07919796 0.11493404 0.09221583],0.9205731216378182,"{'fitness 25': 0.8204016063973628, 'fitness 53': 0.9142902591081139, 'fitness 74': 0.9251220897847734, 'fitness 102': 0.9223070160205674}",False
10,"[[0], [2], [2], [1, 3], [2, 2], [3, 2, 3], [1, 1, 0], [0, 0]]",0.8274332919398412,6,(((Constant/Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 1, 2, 0]",(((0.855421175714073/0.697016027808184)**0.6442586123714441)**0.3463236579636194),[0.85542118 0.69701603 0.64425861 0.34632366],0.9259562850514685,"{'fitness 25': 0.8274332919398412, 'fitness 53': 0.9201239400700266, 'fitness 74': 0.930447604608506, 'fitness 102': 0.9272973104758732}",False
11,"[[0], [0], [2, 3], [3], [2, 0], [0, 0, 0], [1, 1, 0, 1], [1]]",0.8472100957533547,5,(Constant**Constant)+Constant,"[1, 1, 2, 1, 0, 1, 2, 0]",(0.844783375296665**0.4056262846280839)+0.09212407518502119,[0.84478338 0.40562628 0.09212408],0.9454802446183646,"{'fitness 25': 0.8472100957533547, 'fitness 53': 0.939555926073899, 'fitness 74': 0.950015185479336, 'fitness 102': 0.9468696223018583}",False
12,"[[0], [2], [2, 2], [3, 1], [0, 2], [3, 2, 3], [1, 0, 0, 0], [0, 0, 1]]",0.8797773346665855,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.6914755341086684**0.060143570012024083)**0.3660146238625328),[0.69147553 0.06014357 0.36601462],0.977644605988317,"{'fitness 25': 0.8797773346665855, 'fitness 53': 0.9715779572637976, 'fitness 74': 0.9822468634370549, 'fitness 102': 0.9791089972640986}",False
13,"[[0], [2], [2], [2, 3], [2], [], [0, 1], [0]]",0.8842488776558212,7,(((x[0]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 1]",(((x[0]**0.5993861127184112)**0.433278750766233)**0.2551537637298925),[0.59938611 0.43327875 0.25515376],0.9827771492706634,"{'fitness 25': 0.8842488776558212, 'fitness 53': 0.9773004230998461, 'fitness 74': 0.9864133494375001, 'fitness 102': 0.9846176752746439}",False
14,"[[0], [2], [2, 3], [3], [], [3, 2, 0, 2], [0], [0]]",0.8925861374946633,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.6564778773140711)**0.17118145550190877),[0.65647788 0.17118146],0.9914613922489619,"{'fitness 25': 0.8925861374946633, 'fitness 53': 0.986359530130454, 'fitness 74': 0.9944580351588473, 'fitness 102': 0.9935666114575845}",False
15,"[[0], [2], [3], [3], [1, 0, 2], [], [0], [0]]",0.8999323430385856,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.1536639145603721),[0.15366391],0.999088208769327,"{'fitness 25': 0.8999323430385856, 'fitness 53': 0.9943128955349411, 'fitness 74': 1.00152768062145, 'fitness 102': 1.0014240501515899}",False
16,"[[0], [3], [], [], [], [], [1], []]",0.903052267919175,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9676256844049717,[0.96762568],1.000641721438319,"{'fitness 25': 0.903052267919175, 'fitness 53': 0.9944797243977582, 'fitness 74': 1.0052889453803944, 'fitness 102': 1.0021564945368047}",False
17,"[[0], [2], [2], [3], [], [], [0], [0]]",0.91253494407754,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.32555915314875916)**0.6944349090868557),[0.32555915 0.69443491],1.012120623750901,"{'fitness 25': 0.91253494407754, 'fitness 53': 1.0078972956074836, 'fitness 74': 1.0136180505622474, 'fitness 102': 1.0148465250829721}",False
